NAME,SHORTNAME
Arista Networks Inc.,Arista Networks
Abercrombie & Fitch Company,Abercrombie & Fitch Company
Amira Nature Foods Ltd,Amira Nature Foods
ANGI Homeservices Inc.,ANGI Homeservices
VanEck Vectors Fallen Angel High Yield Bond,VanEck Vectors Fallen Angel High Yield Bond
AngioDynamics Inc.,AngioDynamics
Anworth Mortgage Asset Corporation,Anworth Mortgage Asset
Anika Therapeutics Inc.,Anika Therapeutics
ANI Pharmaceuticals Inc.,ANI Pharmaceuticals
Anixa Biosciences Inc.,Anixa Biosciences
ANSYS Inc.,ANSYS
Anthem Inc.,Anthem
Sphere 3D Corp.,Sphere 3D
iShares Core Aggressive Allocation,iShares Core Aggressive Allocation
American Outdoor Brands Corporation,American Outdoor Brands
Aberdeen Total Dynamic Dividend Fund,Aberdeen Total Dynamic Dividend Fund
iShares Core Conservative Allocation,iShares Core Conservative Allocation
iShares Core Moderate Allocation,iShares Core Moderate Allocation
Aon plc Class A (UK),Aon plc (UK)
iShares Core Growth Allocation,iShares Core Growth Allocation
A.O. Smith Corporation,A.O. Smith
Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor Limited
Ampco-Pittsburgh Corporation,Ampco-Pittsburgh
Apache Corporation,Apache
Artisan Partners Asset Management Inc. Class A,Artisan Partners Asset Management
Anadarko Petroleum Corporation,Anadarko Petroleum
Air Products and Chemicals Inc.,Air Products and Chemicals
Applied DNA Sciences Inc,Applied DNA Sciences
American Public Education Inc.,American Public Education
Apollo Endosurgery Inc.,Apollo Endosurgery
Morgan Stanley Asia-Pacific Fund Inc.,Morgan Stanley Asia-Pacific Fund
Amphenol Corporation,Amphenol
Aphria Inc.,Aphria
AmpliPhi Biosciences Corporation,AmpliPhi Biosciences
Apple Hospitality REIT Inc.,Apple Hospitality REIT
Apellis Pharmaceuticals Inc.,Apellis Pharmaceuticals
Aptorum Group Limited,Aptorum Limited
Apollo Global Management LLC Class A Representing Class A Limitied Liability Company Interests,Apollo Global Management LLC Representing Limitied Liability Company Interests
Apogee Enterprises Inc.,Apogee Enterprises
Cellect Biotechnology Ltd.,Cellect Biotechnology
AppFolio Inc.,AppFolio
Appian Corporation,Appian
Digital Turbine Inc.,Digital Turbine
Blue Apron Holdings Inc. Class A,Blue Apron
Alpha Pro Tech Ltd.,Alpha Pro Tech
Aptose Biosciences Inc.,Aptose Biosciences
Preferred Apartment Communities Inc.,Preferred Apartment Communities
Aptiv PLC,Aptiv PLC
Aptinyx Inc.,Aptinyx
AmeriGas Partners L.P.,AmeriGas Partners
Aptevo Therapeutics Inc.,Aptevo Therapeutics
Asia Pacific Wire & Cable Corporation Limited,Asia Pacific Wire & Cable Limited
Apergy Corporation,Apergy
Apyx Medical Corporation,Apyx Medical
Aquantia Corp.,Aquantia
AquaBounty Technologies Inc.,AquaBounty
Aqua Metals Inc.,Aqua Metals
Algonquin Power & Utilities Corp.,Algonquin Power & Utilities
Aquestive Therapeutics Inc.,Aquestive Therapeutics
Evoqua Water Technologies Corp.,Evoqua Water
Aquinox Pharmaceuticals Inc.,Aquinox Pharmaceuticals
Antero Resources Corporation,Antero Resources
American Renal Associates Holdings Inc,American Renal Associates
Aravive Inc.,Aravive
Accuray Incorporated,Accuray Incorporated
ARC Document Solutions Inc.,ARC Document Solutions
ArcBest Corporation,ArcBest
Ares Capital Corporation,Ares Capital
Arco Platform Limited,Arco Platform Limited
Arch Coal Inc. Class A,Arch Coal
Appliance Recycling Centers of America Inc.,Appliance Recycling Centers of America
Arcos Dorados Holdings Inc. Class A Shares,Arcos Dorados Shares
Arcturus Therapeutics Ltd.,Arcturus Therapeutics
ARC Group Worldwide Inc.,ARC Worldwide
Ardagh Group S.A.,Ardagh S.A.
Ares Dynamic Credit Allocation Fund Inc.,Ares Dynamic Credit Allocation Fund
Aridis Pharmaceuticals Inc.,Aridis Pharmaceuticals
Ardelyx Inc.,Ardelyx
Alexandria Real Estate Equities Inc.,Alexandria Real Estate Equities
Ares Management Corporation Class A,Ares Management
Approach Resources Inc.,Approach Resources
Argo Group International Holdings Ltd.,Argo International
argenx SE,argenx SE
Apollo Commercial Real Estate Finance Inc,Apollo Commercial Real Estate Finance
Ark Restaurants Corp.,Ark Restaurants
American Realty Investors Inc.,American Realty Investors
Arlo Technologies Inc.,Arlo
Alliance Resource Partners L.P.,Alliance Resource Partners
Aramark,Aramark
Arena Pharmaceuticals Inc.,Arena Pharmaceuticals
Arconic Inc.,Arconic
Archrock Inc.,Archrock
Arrow Financial Corporation,Arrow Financial
Aerpio Pharmaceuticals Inc.,Aerpio Pharmaceuticals
ArQule Inc.,ArQule
ARMOUR Residential REIT Inc.,ARMOUR Residential REIT
ARRIS International plc,ARRIS International plc
Array BioPharma Inc.,Array BioPharma
Artesian Resources Corporation Class A Non-Voting Common Stock,Artesian Resources Non-Voting Common Stock
Art's-Way Manufacturing Co. Inc.,Art's-Way Manufacturing Co.
Arotech Corporation,Arotech
Arvinas Inc.,Arvinas
Arrow Electronics Inc.,Arrow Electronics
Arrowhead Pharmaceuticals Inc.,Arrowhead Pharmaceuticals
ARYA Sciences Acquisition Corp.,ARYA Sciences Acquisition
ASA Gold and Precious Metals Limited,ASA Gold and Precious Metals Limited
Associated Banc-Corp,Associated Banc-Corp
Ardmore Shipping Corporation,Ardmore Shipping
Ascent Capital Group Inc. Series A Common Stock,Ascent Capital Series Common Stock
Global X FTSE Southeast Asia,Global X FTSE Southeast Asia
Asta Funding Inc.,Asta Funding
Liberty All-Star Growth Fund Inc.,Liberty All-Star Growth Fund
ASGN Incorporated,ASGN Incorporated
Ashland Global Holdings Inc.,Ashland Global
AdvanSix Inc.,AdvanSix
ASLAN Pharmaceuticals Limited,ASLAN Pharmaceuticals Limited
Avino Silver & Gold Mines Ltd. (Canada),Avino Silver & Gold Mines (Canada)
Assembly Biosciences Inc.,Assembly Biosciences
ASML Holding N.V.,ASML Holding N.V.
Ascena Retail Group Inc.,Ascena Retail
Ascendis Pharma A/S,Ascendis Pharma A/S
Arsanis Inc.,Arsanis
Aspen Aerogels Inc.,Aspen Aerogels
Altisource Portfolio Solutions S.A.,Altisource Portfolio Solutions S.A.
Aspen Group Inc.,Aspen
Grupo Aeroportuario del Sureste S.A. de C.V.,Grupo Aeroportuario del Sureste S.A. de C.V.
Assertio Therapeutics Inc.,Assertio Therapeutics
AmeriServ Financial Inc.,AmeriServ Financial
Asterias Biotherapeutics Inc. Common Series A,Asterias Biotherapeutics Common Series
Astrotech Corporation,Astrotech
Astec Industries Inc.,Astec Industries
Asure Software Inc,Asure Software
ASV Holdings Inc.,ASV
ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two),ASE Technology Holding Co. American Depositary Shares (each representing Two)
Amtech Systems Inc.,Amtech Systems
Atlantic Power Corporation (Canada),Atlantic Power (Canada)
ATA Inc.,ATA
America First Multifamily Investors L.P.,America First Multifamily Investors
Alphatec Holdings Inc.,Alphatec
A10 Networks Inc.,A10 Networks
Adtalem Global Education Inc.,Adtalem Global Education
Athene Holding Ltd. Class A,Athene Holding
Autohome Inc. American Depositary Shares each representing one class A.,Autohome American Depositary Shares each representing one A.
athenahealth Inc.,athenahealth
Athersys Inc.,Athersys
Allegheny Technologies Incorporated,Allegheny Incorporated
Attis Industries Inc.,Attis Industries
Atkore International Group Inc.,Atkore International
Atlanticus Holdings Corporation,Atlanticus
Ames National Corporation,Ames National
ATN International Inc.,ATN International
Actinium Pharmaceuticals Inc. (Delaware),Actinium Pharmaceuticals (Delaware)
Athenex Inc.,Athenex
Atmos Energy Corporation,Atmos Energy
Atomera Incorporated,Atomera Incorporated
Atossa Genetics Inc.,Atossa Genetics
AptarGroup Inc.,AptarGroup
Atara Biotherapeutics Inc.,Atara Biotherapeutics
AtriCure Inc.,AtriCure
Atrion Corporation,Atrion
Astronics Corporation,Astronics
Antares Pharma Inc.,Antares Pharma
Air Transport Services Group Inc,Air Transport Services
Atento S.A.,Atento S.A.
Attunity Ltd.,Attunity
Actuant Corporation,Actuant
Altice USA Inc. Class A,Altice USA
Acorn International Inc. ADS,Acorn International ADS
Activision Blizzard Inc,Activision Blizzard
Avenue Therapeutics Inc.,Avenue Therapeutics
AngloGold Ashanti Limited,AngloGold Ashanti Limited
Auburn National Bancorporation Inc.,Auburn National Bancorporation
AudioCodes Ltd.,AudioCodes
Auryn Resources Inc.,Auryn Resources
Golden Minerals Company,Golden Minerals Company
AU Optronics Corp American Depositary Shares,AU Optronics American Depositary Shares
Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals
WisdomTree Australia Dividend Index,WisdomTree Australia Dividend Index
Autolus Therapeutics plc,Autolus Therapeutics plc
AutoWeb Inc.,AutoWeb
Yamana Gold Inc. (Canada),Yamana Gold (Canada)
Avista Corporation,Avista
