NAME,SHORTNAME
P.A.M. Transportation Services Inc.,P.A.M. Transportation Services
Protective Insurance Corporation Class A (voting) Common Stock,Protective Insurance (voting) Common Stock
Protective Insurance Corporation Class B (nonvoting) Common Stock,Protective Insurance B (nonvoting) Common Stock
Pernix Therapeutics Holdings Inc.,Pernix Therapeutics
Pimco Corporate & Income Opportunity Fund,Pimco Corporate & Income Opportunity Fund
People's Utah Bancorp,People's Utah Bancorp
Invesco DWA Utilities Momentum ETF,Invesco DWA Utilities Momentum ETF
Prudential Public Limited Company,Prudential Public Limited Company
Pulmatrix Inc.,Pulmatrix
ProPetro Holding Corp.,ProPetro Holding
Invesco WilderHill Progressive Energy,Invesco WilderHill Progressive Energy
Penn Virginia Corporation,Penn Virginia
Provident Bancorp Inc.,Provident Bancorp
Pretium Resources Inc. (Canada),Pretium Resources (Canada)
PVH Corp.,PVH
Invesco VRDO Tax Free Weekly,Invesco VRDO Tax Free Weekly
Permianville Royalty Trust Trust Units,Permianville Royalty Trust Trust Units
Pivotal Software Inc. Class A,Pivotal Software
Power REIT (MD),Power REIT (MD)
Invesco Dynamic Large Cap Growth,Invesco Dynamic Large Cap Growth
Invesco Dynamic Market,Invesco Dynamic Market
Penns Woods Bancorp Inc.,Penns Woods Bancorp
Quanta Services Inc.,Quanta Services
Invesco Dynamic Large Cap Value,Invesco Dynamic Large Cap Value
Invesco California AMT-Free Municipal Bond Portfolio,Invesco California AMT-Free Municipal Bond Portfolio
Pioneer Natural Resources Company,Pioneer Natural Resources Company
Invesco Dynamic Energy Exploration &Production,Invesco Dynamic Energy Exploration &Production
Invesco FTSE RAFI Developed Markets ex-U.S.,Invesco FTSE RAFI Developed Markets ex-U.S.
Invesco FTSE RAFI Emerging Markets,Invesco FTSE RAFI Emerging Markets
Invesco DWA Energy Momentum ETF,Invesco DWA Energy Momentum ETF
Invesco Dynamic Oil & Gas Services,Invesco Dynamic Oil & Gas Services
Invesco Russell Top 200 Pure Growth,Invesco Russell Top 200 Pure Growth
Invesco Russell Top 200 Pure Value,Invesco Russell Top 200 Pure Value
Pixelworks Inc.,Pixelworks
Invesco Russell MidCap Pure Growth,Invesco Russell MidCap Pure Growth
Invesco Russell Midcap Pure Value,Invesco Russell Midcap Pure Value
Invesco Dynamic Networking,Invesco Dynamic Networking
Invesco Emerging Markets Infrastructure,Invesco Emerging Markets Infrastructure
Pyxis Tankers Inc.,Pyxis Tankers
Invesco Russell 2000 Pure Growth,Invesco Russell 2000 Pure Growth
Invesco Russell 2000 Pure Value,Invesco Russell 2000 Pure Value
Payment Data Systems Inc.,Payment Data Systems
PIMCO New York Municipal Income Fund III of Beneficial Interest,PIMCO New York Municipal Income Fund III of Beneficial Interest
PayPal Holdings Inc.,PayPal
Pyxus International Inc.,Pyxus International
Invesco DWA Basic Materials Momentum ETF,Invesco DWA Basic Materials Momentum ETF
Invesco National AMT-Free Municipal Bond ETFo,Invesco National AMT-Free Municipal Bond ETFo
PIMCO California Municipal Income Fund III of Beneficial Interest,PIMCO California Municipal Income Fund III of Beneficial Interest
Invesco Cleantech,Invesco Cleantech
Paramount Gold Nevada Corp.,Paramount Gold Nevada
Invesco Zacks Micro Cap,Invesco Zacks Micro Cap
Pzena Investment Management Inc Class A,Pzena Investment Management
Invesco New York AMT-Free Municipal Bond,Invesco New York AMT-Free Municipal Bond
Papa John's International Inc.,Papa John's International
First Trust NASDAQ ABA Community Bank Index Fund,First Trust NASDAQ ABA Community Bank Index Fund
QAD Inc.,QAD
QAD Inc.,QAD
IQ Hedge MultiIQ Hedge Multi-Strategy Tracker,IQ Hedge MultiIQ Hedge Multi-Strategy Tracker
Qualstar Corporation,Qualstar
First Trust NASDAQ Clean Edge Green Energy Index Fund,First Trust NASDAQ Clean Edge Green Energy Index Fund
QUALCOMM Incorporated,QUALCOMM Incorporated
QCR Holdings Inc.,QCR
Qudian Inc. American Depositary Shares each representing one Class A,Qudian American Depositary Shares each representing one
FlexShares Quality Dividend Defensive Index Fund,FlexShares Quality Dividend Defensive Index Fund
Quidel Corporation,Quidel
FlexShares Quality Dividend Index Fund,FlexShares Quality Dividend Index Fund
FlexShares Quality Dynamic Index Fund,FlexShares Quality Dynamic Index Fund
QEP Resources Inc.,QEP Resources
Quintana Energy Services Inc.,Quintana Energy Services
360 Finance Inc.,360 Finance
Qiagen N.V.,Qiagen N.V.
Quorum Health Corporation,Quorum Health
QIWI plc,QIWI plc
ProShares Ultra QQQ,ProShares Ultra QQQ
iShares Aaa A Rated Corporate Bond,iShares Aaa Rated Corporate Bond
Qualys Inc.,Qualys
IQ Hedge Market Neutral Tracker,IQ Hedge Market Neutral Tracker
QuinStreet Inc.,QuinStreet
First Trust NASDAQ-100 Equal Weighted Index Fund,First Trust NASDAQ-100 Equal Weighted Index Fund
Invesco QQQ Trust Series 1,Invesco QQQ Trust Series 1
Direxion NASDAQ-100 Equal Weighted Index Shares,Direxion NASDAQ-100 Equal Weighted Index Shares
Nuveen NASDAQ 100 Dynamic Overwrite Fund,Nuveen NASDAQ 100 Dynamic Overwrite Fund
First Trust NASDAQ-100 Ex-Technology Sector Index Fund,First Trust NASDAQ-100 Ex-Technology Sector Index Fund
Quest Resource Holding Corporation.,Quest Resource Holding Corporation.
Qurate Retail Inc. Series A Common Stock,Qurate Retail Series Common Stock
Qurate Retail Inc. Series B Common Stock,Qurate Retail Series B Common Stock
Qorvo Inc.,Qorvo
Restaurant Brands International Inc.,Restaurant Brands International
WisdomTree U.S. Quality Shareholder Yield Fund,WisdomTree U.S. Quality Shareholder Yield Fund
First Trust NASDAQ-100- Technology Index Fund,First Trust NASDAQ-100- Technology Index Fund
Quantenna Communications Inc.,Quantenna Communications
Quotient Limited,Quotient Limited
Quarterhill Inc.,Quarterhill
Quanterix Corporation,Quanterix
QTS Realty Trust Inc. Class A,QTS Realty Trust
Qutoutiao Inc.,Qutoutiao
Q2 Holdings Inc.,Q2
Quad Graphics Inc Class A,Quad Graphics
QuickLogic Corporation,QuickLogic
Qumu Corporation,Qumu
Quotient Technology Inc.,Quotient Technology
uniQure N.V.,uniQure N.V.
Ryder System Inc.,Ryder System
Brookfield Real Assets Income Fund Inc.,Brookfield Real Assets Income Fund
Ferrari N.V.,Ferrari N.V.
Rite Aid Corporation,Rite Aid
RADA Electronic Industries Ltd.,RADA Electronic Industries
Freightcar America Inc.,Freightcar America
ProShares RAFI Long Short,ProShares RAFI Long Short
LiveRamp Holdings Inc.,LiveRamp
Rand Capital Corporation,Rand Capital
Ultragenyx Pharmaceutical Inc.,Ultragenyx Pharmaceutical
Ra Pharmaceuticals Inc.,Ra Pharmaceuticals
Rave Restaurant Group Inc.,Rave Restaurant
FlexShares Ready Access Variable Income Fund,FlexShares Ready Access Variable Income Fund
Raven Industries Inc.,Raven Industries
Ritchie Bros. Auctioneers Incorporated,Ritchie Bros. Auctioneers Incorporated
RBB Bancorp,RBB Bancorp
Ribbon Communications Inc.,Ribbon Communications
Regal Beloit Corporation,Regal Beloit
Republic Bancorp Inc. Class A Common Stock,Republic Bancorp Common Stock
Rubicon Technology Inc.,Rubicon Technology
Rhinebeck Bancorp Inc.,Rhinebeck Bancorp
Reliant Bancorp Inc.,Reliant Bancorp
Royal Bank of Scotland Group Plc New (The) ADS,Royal Bank of Scotland Plc New (The) ADS
Reebonz Holding Limited,Reebonz Holding Limited
Ready Capital Corproation,Ready Capital Corproation
Invesco S&P 500 Equal Weight Consumer Discretionary,Invesco S&P 500 Equal Weight Consumer Discretionary
RENN Fund Inc,RENN Fund
Rogers Communication Inc.,Rogers Communication
Rent-A-Center Inc.,Rent-A-Center
Rocket Pharmaceuticals Inc.,Rocket Pharmaceuticals
Rocky Brands Inc.,Rocky Brands
Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises
R1 RCM Inc.,R1 RCM
RCM Technologies Inc.,RCM
Recon Technology Ltd.,Recon Technology
PIMCO Strategic Income Fund Inc.,PIMCO Strategic Income Fund
Arcus Biosciences Inc.,Arcus Biosciences
Rowan Companies plc Class A,Rowan Companies plc
Radcom Ltd.,Radcom
Redfin Corporation,Redfin
Redhill Biopharma Ltd.,Redhill Biopharma
Reading International Inc,Reading International
Reading International Inc,Reading International
Radian Group Inc.,Radian
RadNet Inc.,RadNet
Royal Dutch Shell PLC American Depositary Shares (Each representing two Class A),Royal Dutch Shell PLC American Depositary Shares (Each representing two A)
Royal Dutch Shell PLC American Depositary Shares (Each representing two Class B),Royal Dutch Shell PLC American Depositary Shares (Each representing two B)
Radius Health Inc.,Radius Health
Red Violet Inc.,Red Violet
Radware Ltd.,Radware
Dr. Reddy's Laboratories Ltd,Dr. Reddy's Laboratories
Everest Re Group Ltd.,Everest Re
Resources Connection Inc.,Resources Connection
RISE Education Cayman Ltd,RISE Education Cayman
Reeds Inc.,Reeds
Research Frontiers Incorporated,Research Frontiers Incorporated
Regency Centers Corporation,Regency Centers
Renewable Energy Group Inc.,Renewable Energy
Regeneron Pharmaceuticals Inc.,Regeneron Pharmaceuticals
Ring Energy Inc.,Ring Energy
ProShares Short Real Estate,ProShares Short Real Estate
Richardson Electronics Ltd.,Richardson Electronics
Reliv' International Inc.,Reliv' International
RELX PLC PLC American Depositary Shares (Each representing One),RELX PLC PLC American Depositary Shares (Each representing One)
Resolute Energy Corporation Comon Stock,Resolute Energy Comon Stock
Renren Inc. American Depositary Shares each representing fifteen Class A,Renren American Depositary Shares each representing fifteen
Recro Pharma Inc.,Recro Pharma
Replimune Group Inc.,Replimune
RPC Inc.,RPC
Front Yard Residential Corporation,Front Yard Residential
Resonant Inc.,Resonant
Reata Pharmaceuticals Inc.,Reata Pharmaceuticals
Direxion Daily Retail Bull 3X Shares,Direxion Daily Retail Bull 3X Shares
ReTo Eco-Solutions Inc.,ReTo Eco-Solutions
Revlon Inc.,Revlon
REV Group Inc.,REV
REX American Resources Corporation,REX American Resources
Rexford Industrial Realty Inc.,Rexford Industrial Realty
iShares Trust Residential Real Estate,iShares Trust Residential Real Estate
Resideo Technologies Inc.,Resideo
Regions Financial Corporation,Regions Financial
Invesco S&P Midcap 400 Pure Growth,Invesco S&P Midcap 400 Pure Growth
Cohen & Steers Total Return Realty Fund Inc.,Cohen & Steers Total Return Realty Fund
RF Industries Ltd.,RF Industries
Rafael Holdings Inc. Class B,Rafael B
Resolute Forest Products Inc.,Resolute Forest Products
Invesco S&P Midcap 400 Pure Value,Invesco S&P Midcap 400 Pure Value
Reinsurance Group of America Incorporated,Reinsurance of America Incorporated
RGC Resources Inc.,RGC Resources
Repligen Corporation,Repligen
Invesco S&P 500 Equal Weight Industrials Portfolio,Invesco S&P 500 Equal Weight Industrials Portfolio
Royal Gold Inc.,Royal Gold
Regulus Therapeutics Inc.,Regulus Therapeutics
REGENXBIO Inc.,REGENXBIO
Sturm Ruger & Company Inc.,Sturm Ruger & Company
Regis Corporation,Regis
Real Goods Solar Inc.,Real Goods Solar
Royce Global Value Trust Inc.,Royce Global Value Trust
RH,RH
Regional Health Properties Inc.,Regional Health Properties
Robert Half International Inc.,Robert Half International
Ryman Hospitality Properties Inc. (REIT),Ryman Hospitality Properties (REIT)
Invesco S&P 500 Equal Weight Consumer Staples,Invesco S&P 500 Equal Weight Consumer Staples
Red Hat Inc.,Red Hat
RiceBran Technologies,RiceBran
RCI Hospitality Holdings Inc.,RCI Hospitality
RMR Real Estate Income Fund (MD),RMR Real Estate Income Fund (MD)
Transocean Ltd (Switzerland),Transocean (Switzerland)
Rigel Pharmaceuticals Inc.,Rigel Pharmaceuticals
B. Riley Financial Inc.,B. Riley Financial
ProShares Inflation Expectations,ProShares Inflation Expectations
Rio Tinto Plc,Rio Tinto Plc
Riot Blockchain Inc,Riot Blockchain
RiverNorth Opportunities Fund Inc.,RiverNorth Opportunities Fund
Riverview Financial Corporation,Riverview Financial
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Agriculture Total Return Structured Pro,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Agriculture Total Return Structured Pro
Raymond James Financial Inc.,Raymond James Financial
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Total Return Structured Product,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Total Return Structured Product
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Energy Total Return Structured Product,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Energy Total Return Structured Product
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Metals Total Return Structured Product
Arcadia Biosciences Inc.,Arcadia Biosciences
Ralph Lauren Corporation,Ralph Lauren
Radiant Logistics Inc.,Radiant Logistics
Realogy Holdings Corp.,Realogy
Red Lions Hotels Corporation,Red Lions Hotels
RLI Corp. (DE),RLI (DE)
RLJ Lodging Trust of Beneficial Interest $0.01 par value,RLJ Lodging Trust of Beneficial Interest $0.01 par value
Realm Therapeutics plc,Realm Therapeutics plc
SPDR SSgA Multi Asset Real Return,SPDR SSgA Multi Asset Real Return
Regional Management Corp.,Regional Management
RE/MAX Holdings Inc. Class A,RE/MAX
RumbleOn Inc.,RumbleOn
Rambus Inc.,Rambus
Rocky Mountain Chocolate Factory Inc.,Rocky Mountain Chocolate Factory
ResMed Inc.,ResMed
Ra Medical Systems Inc.,Ra Medical Systems
Rimini Street Inc.,Rimini Street
The RMR Group Inc.,The RMR
Royce Micro-Cap Trust Inc.,Royce Micro-Cap Trust
Rockwell Medical Inc.,Rockwell Medical
Randolph Bancorp Inc.,Randolph Bancorp
RigNet Inc.,RigNet
Ringcentral Inc. Class A,Ringcentral
Ranger Energy Services Inc. Class A,Ranger Energy Services
Rexahn Pharmaceuticals Inc.,Rexahn Pharmaceuticals
Cohen & Steers Reit and Preferred Income Fund Inc,Cohen & Steers Reit and Preferred Income Fund
RenaissanceRe Holdings Ltd.,RenaissanceRe
Renasant Corporation,Renasant
RealNetworks Inc.,RealNetworks
Construction Partners Inc.,Construction Partners
Roan Resources Inc. Class A,Roan Resources
Gibraltar Industries Inc.,Gibraltar Industries
Rogers Corporation,Rogers
Retail Opportunity Investments Corp.,Retail Opportunity Investments
Rockwell Automation Inc.,Rockwell Automation
Roku Inc.,Roku
Rollins Inc.,Rollins
RBC Bearings Incorporated,RBC Bearings Incorporated
ProShares Ultra Technology,ProShares Ultra Technology
IQ US Real Estate Small Cap,IQ US Real Estate Small Cap
Roper Technologies Inc.,Roper
Rosehill Resources Inc.,Rosehill Resources
Ross Stores Inc.,Ross Stores
Castle Brands Inc.,Castle Brands
Pacific Coast Oil Trust Units of Beneficial Interest,Pacific Coast Oil Trust Units of Beneficial Interest
RealPage Inc.,RealPage
Retail Properties of America Inc. Class A,Retail Properties of America
Rapid7 Inc.,Rapid7
Invesco S&P 500 Pure Growth,Invesco S&P 500 Pure Growth
RPM International Inc.,RPM International
RPT Realty,RPT Realty
Invesco S&P 500 Pure Value,Invesco S&P 500 Pure Value
Cohen & Steers Quality Income Realty Fund Inc,Cohen & Steers Quality Income Realty Fund
Range Resources Corporation,Range Resources
R.R. Donnelley & Sons Company,R.R. Donnelley & Sons Company
Red Robin Gourmet Burgers Inc.,Red Robin Gourmet Burgers
Red Rock Resorts Inc.,Red Rock Resorts
Roadrunner Transportation Systems Inc,Roadrunner Transportation Systems
Reliance Steel & Aluminum Co. (DE),Reliance Steel & Aluminum Co. (DE)
Republic Services Inc.,Republic Services
Invesco S&P 500 Equal Weight,Invesco S&P 500 Equal Weight
Rosetta Stone Inc.,Rosetta Stone
VanEck Vectors Russia,VanEck Vectors Russia
Rudolph Technologies Inc.,Rudolph
VanEck Vectors Retail,VanEck Vectors Retail
RTI Surgical Inc.,RTI Surgical
Invesco S&P 500 Equal Weight Materials,Invesco S&P 500 Equal Weight Materials
Raytheon Company,Raytheon Company
Retrophin Inc.,Retrophin
Ritter Pharmaceuticals Inc.,Ritter Pharmaceuticals
RTW Retailwinds Inc.,RTW Retailwinds
The Rubicon Project Inc.,The Rubicon Project
Rubius Therapeutics Inc.,Rubius Therapeutics
Sunrun Inc.,Sunrun
Rush Enterprises Inc. Class A Common Stock,Rush Enterprises Common Stock
Rush Enterprises Inc. Class B Common Stock,Rush Enterprises B Common Stock
Ruth's Hospitality Group Inc.,Ruth's Hospitality
Reven Housing REIT Inc.,Reven Housing REIT
Retail Value Inc.,Retail Value
Revolution Lighting Technologies Inc.,Revolution Lighting
Revance Therapeutics Inc.,Revance Therapeutics
Retractable Technologies Inc.,Retractable
Riverview Bancorp Inc,Riverview Bancorp
Royce Value Trust Inc.,Royce Value Trust
Regalwood Global Energy Ltd. Class A,Regalwood Global Energy
Oppenheimer S&P SmallCap 600 Revenue,Oppenheimer S&P SmallCap 600 Revenue
Oppenheimer S&P MidCap 400 Revenue,Oppenheimer S&P MidCap 400 Revenue
Oppenheimer S&P 500 Revenue,Oppenheimer S&P 500 Revenue
ReWalk Robotics Ltd,ReWalk Robotics
ProShares Short Russell2000,ProShares Short Russell2000
SPDR DJ Wilshire Global Real Estate,SPDR DJ Wilshire Global Real Estate
SPDR DJ Wilshire REIT,SPDR DJ Wilshire REIT
Redwood Trust Inc.,Redwood Trust
Oppenheimer S&P Financials Revenue,Oppenheimer S&P Financials Revenue
SPDR DJ Wilshire Intl Real Estate,SPDR DJ Wilshire Intl Real Estate
ProShares UltraShort Health Care,ProShares UltraShort Health Care
iShares Global Consumer Discretionary,iShares Global Consumer Discretionary
ProShares Ultra Health Care,ProShares Ultra Health Care
Rexnord Corporation,Rexnord
Royal Bank Of Canada,Royal Bank Of Canada
Ryanair Holdings plc American Depositary Shares each representing five Ordinary Shares,Ryanair plc American Depositary Shares each representing five Ordinary Shares
Rayonier Advanced Materials Inc.,Rayonier Advanced Materials
RYB Education Inc. American depositary shares each representing one Class A,RYB Education American depositary shares each representing one
Invesco S&P 500 Equal Weight Energy,Invesco S&P 500 Equal Weight Energy
Invesco S&P 500 Equal Weight Financial,Invesco S&P 500 Equal Weight Financial
Invesco S&P 500 Equal Weight Health Care,Invesco S&P 500 Equal Weight Health Care
Ryerson Holding Corporation,Ryerson Holding
Invesco Raymond James SB-1 Equity,Invesco Raymond James SB-1 Equity
Rayonier Inc. REIT,Rayonier REIT
Invesco S&P 500 Equal Weight Technology,Invesco S&P 500 Equal Weight Technology
Rhythm Pharmaceuticals Inc.,Rhythm Pharmaceuticals
Invesco S&P 500 Equal Weight Utilities,Invesco S&P 500 Equal Weight Utilities
Invesco S&P Smallcap 600 Pure Growth,Invesco S&P Smallcap 600 Pure Growth
Invesco S&P Smallcap 600 Pure Value,Invesco S&P Smallcap 600 Pure Value
Sprint Corporation,Sprint
Seabridge Gold Inc. (Canada),Seabridge Gold (Canada)
ProShares Ultra SmallCap600,ProShares Ultra SmallCap600
Sabre Corporation,Sabre
Sachem Capital Corp.,Sachem Capital
SAExploration Holdings Inc.,SAExploration
Safety Income & Growth Inc.,Safety Income & Growth
Sanderson Farms Inc.,Sanderson Farms
Safety Insurance Group Inc.,Safety Insurance
Sage Therapeutics Inc.,Sage Therapeutics
Direxion Daily Total Bond Market Bear 1X Shares,Direxion Daily Total Bond Market Bear 1X Shares
Sonic Automotive Inc.,Sonic Automotive
Saia Inc.,Saia
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SCIENCE APPLICATIONS INTERNATIONAL
SailPoint Technologies Holdings Inc.,SailPoint
Salisbury Bancorp Inc.,Salisbury Bancorp
Salem Media Group Inc.,Salem Media
Scorpio Bulkers Inc.,Scorpio Bulkers
Boston Beer Company Inc. (The),Boston Beer Company (The)
Schultze Special Purpose Acquisition Corp.,Schultze Special Purpose Acquisition
Silvercrest Asset Management Group Inc.,Silvercrest Asset Management
Banco Santander S.A. Sponsored ADR (Spain),Banco Santander S.A. Sponsored (Spain)
Sandstorm Gold Ltd. (Canada),Sandstorm Gold (Canada)
Sanmina Corporation,Sanmina
S&W Seed Company,S&W Seed Company
SAP SE ADS,SAP SE ADS
Saratoga Investment Corp New,Saratoga Investment New
Sandy Spring Bancorp Inc.,Sandy Spring Bancorp
EchoStar Corporation,EchoStar
Diversified Restaurant Holdings Inc.,Diversified Restaurant
Spirit Airlines Inc.,Spirit Airlines
Safe Bulkers Inc ($0.001 par value),Safe Bulkers ($0.001 par value)
SBA Communications Corporation,SBA Communications
Strongbridge Biopharma plc,Strongbridge Biopharma plc
SB One Bancorp,SB One Bancorp
Seacoast Banking Corporation of Florida,Seacoast Banking of Florida
SB Financial Group Inc.,SB Financial
Sinclair Broadcast Group Inc.,Sinclair Broadcast
D/B/A Sibanye-Stillwater Limited American Depositary Shares (Each representing four),D/B/A Sibanye-Stillwater Limited American Depositary Shares (Each representing four)
Sally Beauty Holdings Inc. (Name to be changed from Holdings Inc.),Sally Beauty (Name to be changed from Inc.)
Western Asset Intermediate Muni Fund Inc,Western Asset Intermediate Muni Fund
Star Bulk Carriers Corp.,Star Bulk Carriers
Short Basic Materials,Short Basic Materials
Signature Bank,Signature Bank
Stellar Biotechnologies Inc.,Stellar Biotechnologies
SilverBow Resorces Inc.,SilverBow Resorces
Spring Bank Pharmaceuticals Inc.,Spring Bank Pharmaceuticals
Sabine Royalty Trust,Sabine Royalty Trust
Sabra Health Care REIT Inc.,Sabra Health Care REIT
Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250),Companhia de saneamento Basico Do Estado De Sao Paulo Sabesp American Depositary Shares (Each repstg 250)
Southside Bancshares Inc.,Southside Bancshares
Sterling Bancorp Inc.,Sterling Bancorp
Starbucks Corporation,Starbucks
Santander Consumer USA Holdings Inc.,Santander Consumer USA
Saban Capital Acquisition Corp.,Saban Capital Acquisition
Southern Copper Corporation,Southern Copper
LMP Capital and Income Fund Inc.,LMP Capital and Income Fund
Schwab U.S. Small-Cap,Schwab U.S. Small-Cap
Schwab U.S. Broad Market,Schwab U.S. Broad Market
Schwab International Small-Cap Equity,Schwab International Small-Cap Equity
Schwab US Dividend Equity,Schwab US Dividend Equity
Schwab Emerging Markets Equity,Schwab Emerging Markets Equity
Schwab International Equity,Schwab International Equity
Schwab U.S. Large-Cap Growth,Schwab U.S. Large-Cap Growth
Schwab U.S. REIT,Schwab U.S. REIT
Scholastic Corporation,Scholastic
Schwab U.S. Mid Cap,Schwab U.S. Mid Cap
Schnitzer Steel Industries Inc.,Schnitzer Steel Industries
Schwab Short-Term U.S. Treasury,Schwab Short-Term U.S. Treasury
Schwab U.S. TIPs,Schwab U.S. TIPs
Schwab Intermediate-Term U.S. Treasury,Schwab Intermediate-Term U.S. Treasury
Schwab U.S. Large-Cap Value,Schwab U.S. Large-Cap Value
Charles Schwab Corporation (The),Charles Schwab (The)
Schwab U.S. Large-Cap,Schwab U.S. Large-Cap
Schwab US Aggregate Bond,Schwab US Aggregate Bond
Service Corporation International,Service International
Columbia India Small Cap,Columbia India Small Cap
iShares MSCI Japan Sm Cap,iShares MSCI Japan Sm Cap
Socket Mobile Inc.,Socket Mobile
Stepan Company,Stepan Company
Stellus Capital Investment Corporation,Stellus Capital Investment
ProShares UltraShort Bloomberg Crude Oil,ProShares UltraShort Bloomberg Crude Oil
Superconductor Technologies Inc.,Superconductor
comScore Inc.,comScore
scPharmaceuticals Inc.,scPharmaceuticals
Steelcase Inc.,Steelcase
ScanSource Inc.,ScanSource
Shoe Carnival Inc.,Shoe Carnival
SecureWorks Corp.,SecureWorks
L.S. Starrett Company (The),L.S. Starrett Company (The)
SCYNEXIS Inc.,SCYNEXIS
iShares MSCI EAFE Small-Cap ETF,iShares MSCI EAFE Small-Cap ETF
SandRidge Energy Inc.,SandRidge Energy
Standard Diversified Inc. Class A,Standard Diversified
Global X SuperDividend,Global X SuperDividend
Seadrill Partners LLC Representing Limited Liability Company Interests,Seadrill Partners LLC Representing Limited Liability Company Interests
ALPS Sector Dividend Dogs,ALPS Sector Dividend Dogs
UltraPro Short Dow30,UltraPro Short Dow30
ProShares UltraShort Utilities,ProShares UltraShort Utilities
Superior Drilling Products Inc.,Superior Drilling Products
SandRidge Mississippian Trust II representing Beneficial Interests,SandRidge Mississippian Trust II representing Beneficial Interests
Seadrill Limited,Seadrill Limited
SandRidge Mississippian Trust I of Beneficial Interest,SandRidge Mississippian Trust I of Beneficial Interest
SPDR S&P Dividend,SPDR S&P Dividend
Sea Limited American Depositary Shares each representing one Class A,Sea Limited American Depositary Shares each representing one
Invesco Shipping,Invesco Shipping
SeaChange International Inc.,SeaChange International
SeaWorld Entertainment Inc.,SeaWorld Entertainment
Seaboard Corporation,Seaboard
Secoo Holding Limited,Secoo Holding Limited
SolarEdge Technologies Inc.,SolarEdge
Sealed Air Corporation,Sealed Air
Origin Agritech Limited,Origin Agritech Limited
Seelos Therapeutics Inc.,Seelos Therapeutics
ProShares Short Financials,ProShares Short Financials
SEI Investments Company,SEI Investments Company
Selecta Biosciences Inc.,Selecta Biosciences
Global Self Storage Inc.,Global Self Storage
Select Medical Holdings Corporation,Select Medical
Semgroup Corporation Class A,Semgroup
Seneca Foods Corp. Class A Common Stock,Seneca Foods Common Stock
Seneca Foods Corp. Class B Common Stock,Seneca Foods B Common Stock
Senseonics Holdings Inc.,Senseonics
ServiceMaster Global Holdings Inc.,ServiceMaster Global
Synthesis Energy Systems Inc.,Synthesis Energy Systems
Sesen Bio Inc.,Sesen Bio
Stifel Financial Corporation,Stifel Financial
Sound Financial Bancorp Inc.,Sound Financial Bancorp
ServisFirst Bancshares Inc.,ServisFirst Bancshares
Safeguard Scientifics Inc.,Safeguard Scientifics
Safe-T Group Ltd.,Safe-T
Stitch Fix Inc.,Stitch Fix
Ship Finance International Limited,Ship Finance International Limited
Shutterfly Inc.,Shutterfly
Sprouts Farmers Market Inc.,Sprouts Farmers Market
Simmons First National Corporation,Simmons First National
Smart & Final Stores Inc.,Smart & Final Stores
Southern First Bancshares Inc.,Southern First Bancshares
Fang Holdings Limited American Depositary Shares (Each representing Four Class A HK$1.00 par value),Fang Limited American Depositary Shares (Each representing Four HK$1.00 par value)
Sirius International Insurance Group Ltd.,Sirius International Insurance
Saga Communications Inc.,Saga Communications
Southwest Georgia Financial Corporation,Southwest Georgia Financial
SG Blocks Inc.,SG Blocks
Superior Group of Companies Inc.,Superior of Companies
Sprott Gold Miners,Sprott Gold Miners
Seattle Genetics Inc.,Seattle Genetics
SMART Global Holdings Inc.,SMART Global
Sigma Labs Inc.,Sigma Labs
SigmaTron International Inc.,SigmaTron International
Sangamo Therapeutics Inc.,Sangamo Therapeutics
Scientific Games Corp,Scientific Games
SGOCO Group Ltd,SGOCO
Aberdeen Standard Physical Swiss Gold Shares,Aberdeen Standard Physical Swiss Gold Shares
SPAR Group Inc.,SPAR
Surgery Partners Inc.,Surgery Partners
Star Group L.P.,Star
Synergy Pharmaceuticals Inc.,Synergy Pharmaceuticals
ProShares Short S&P500,ProShares Short S&P500
Shake Shack Inc. Class A,Shake Shack
Shore Bancshares Inc,Shore Bancshares
Shenandoah Telecommunications Co,Shenandoah Telecommunications
Shinhan Financial Group Co Ltd American Depositary Shares,Shinhan Financial American Depositary Shares
SINOPEC Shangai Petrochemical Company Ltd.,SINOPEC Shangai Petrochemical Company
Seanergy Maritime Holdings Corp,Seanergy Maritime
Shiloh Industries Inc.,Shiloh Industries
Shell Midstream Partners L.P. representing Limited Partner Interests,Shell Midstream Partners representing Limited Partner Interests
